# ----------------------------------------
# 잠재고객: 잠재고객 이름
# 계정: springworks
# 속성: 춘천시립도서관 - GA4
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20251201
# 종료일: 20251231
잠재고객 이름,날짜,총 사용자,새 사용자 수,세션수,조회수,세션당 조회수,평균 세션 시간,총수익
All Users,20251201,1379,447,1871,15340,8.198824158204168,414.13950658471407,0
All Users,20251202,1361,454,1855,12989,7.002156334231806,345.29165788787066,0
All Users,20251203,1231,411,1670,12326,7.380838323353293,321.9452314628743,0
All Users,20251204,1230,402,1702,12971,7.621034077555817,397.78971737485307,0
All Users,20251205,1220,386,1648,11883,7.210558252427185,352.14819122997574,0
All Users,20251206,1347,431,1848,13319,7.207251082251083,344.3050389675325,0
All Users,20251207,1349,426,1841,12881,6.996740901683867,318.3000219864204,0
All Users,20251208,1362,411,1797,13442,7.480244852531998,331.32320038452974,0
All Users,20251209,1510,521,2109,18264,8.660028449502134,359.33004501280226,0
All Users,20251210,1253,420,1713,12031,7.023350846468184,331.5471828120257,0
All Users,20251211,1221,376,1682,12382,7.361474435196195,322.1423506611177,0
All Users,20251212,1241,387,1629,11683,7.171884591774094,326.47088310374465,0
All Users,20251213,1305,408,1783,12213,6.849691531127314,276.5140134554122,0
All Users,20251214,1402,431,1944,14551,7.485082304526749,323.00389347067903,0
All Users,20251215,1294,408,1771,12677,7.158102766798419,310.575419364201,0
All Users,20251216,1371,449,1888,12566,6.655720338983051,438.0766892632416,0
All Users,20251217,1280,432,1757,12454,7.088218554354013,310.7535077091634,0
All Users,20251218,1228,420,1705,11962,7.0158357771260995,347.1109208052786,0
All Users,20251219,1221,404,1611,11099,6.889509621353197,281.6963391551831,0
All Users,20251220,1411,470,1944,13456,6.921810699588478,336.426494997428,0
All Users,20251221,1321,414,1803,12263,6.801442041042707,315.40477021797005,0
All Users,20251222,1346,411,1807,13449,7.442722744881018,314.1781338483675,0
All Users,20251223,1191,369,1602,10873,6.787141073657928,321.57105779962546,0
All Users,20251224,1231,404,1709,11072,6.478642480983031,289.6868784950263,0
All Users,20251225,1033,323,1331,8760,6.581517655897821,285.2520637430503,0
All Users,20251226,1325,457,1773,11679,6.587140439932318,329.69755557304,0
All Users,20251227,1525,479,2084,15603,7.487044145873321,329.38286142034553,0
All Users,20251228,1578,496,2224,16140,7.2571942446043165,335.5764530283273,0
All Users,20251229,1473,487,1979,13391,6.766548762001011,327.65408330823647,0
All Users,20251230,1504,478,2058,14689,7.1375121477162295,353.7161042303207,0
All Users,20251231,1313,403,1819,12802,7.037932930181419,332.61308470753164,0
